geoid,name,B27010001,"B27010001, Error",B27010002,"B27010002, Error",B27010003,"B27010003, Error",B27010004,"B27010004, Error",B27010005,"B27010005, Error",B27010006,"B27010006, Error",B27010007,"B27010007, Error",B27010008,"B27010008, Error",B27010009,"B27010009, Error",B27010010,"B27010010, Error",B27010011,"B27010011, Error",B27010012,"B27010012, Error",B27010013,"B27010013, Error",B27010014,"B27010014, Error",B27010015,"B27010015, Error",B27010016,"B27010016, Error",B27010017,"B27010017, Error",B27010018,"B27010018, Error",B27010019,"B27010019, Error",B27010020,"B27010020, Error",B27010021,"B27010021, Error",B27010022,"B27010022, Error",B27010023,"B27010023, Error",B27010024,"B27010024, Error",B27010025,"B27010025, Error",B27010026,"B27010026, Error",B27010027,"B27010027, Error",B27010028,"B27010028, Error",B27010029,"B27010029, Error",B27010030,"B27010030, Error",B27010031,"B27010031, Error",B27010032,"B27010032, Error",B27010033,"B27010033, Error",B27010034,"B27010034, Error",B27010035,"B27010035, Error",B27010036,"B27010036, Error",B27010037,"B27010037, Error",B27010038,"B27010038, Error",B27010039,"B27010039, Error",B27010040,"B27010040, Error",B27010041,"B27010041, Error",B27010042,"B27010042, Error",B27010043,"B27010043, Error",B27010044,"B27010044, Error",B27010045,"B27010045, Error",B27010046,"B27010046, Error",B27010047,"B27010047, Error",B27010048,"B27010048, Error",B27010049,"B27010049, Error",B27010050,"B27010050, Error",B27010051,"B27010051, Error",B27010052,"B27010052, Error",B27010053,"B27010053, Error",B27010054,"B27010054, Error",B27010055,"B27010055, Error",B27010056,"B27010056, Error",B27010057,"B27010057, Error",B27010058,"B27010058, Error",B27010059,"B27010059, Error",B27010060,"B27010060, Error",B27010061,"B27010061, Error",B27010062,"B27010062, Error",B27010063,"B27010063, Error",B27010064,"B27010064, Error",B27010065,"B27010065, Error",B27010066,"B27010066, Error"
04000US01,Alabama,5022427,2229,1199122,4652,1067179,9682,496927,15479,53069,5472,3325,1271,482224,13183,30646,4498,988,922,85759,7752,13380,2529,765,667,3070,1241,10826,2179,783,796,56935,6125,46184,5707,1031093,6811,799270,9522,580518,11343,94334,7019,2701,1248,104295,6793,15002,2498,2420,782,73339,4973,22037,2881,499,334,5620,1481,7038,1736,643,483,37502,3791,158484,7102,1884757,6293,1432710,13466,1059536,15712,156584,8351,53084,4730,124575,6580,30279,4035,8652,1799,233995,9004,45061,4589,12755,2024,6667,1411,48258,4455,16214,2674,4597,1216,100443,4787,218052,9449,907455,3284,322549,8814,20560,2444,4378,1232,296284,8959,907,753,420,362,581207,9134,1016,559,154407,6040,135845,6257,69672,4198,113,136,16598,2053,203556,6740,3699,1192
04000US02,Alaska,702315,2648,183282,2285,152843,3409,69919,5508,7622,2183,251,267,59683,5298,15300,3169,68,74,17744,2782,1182,897,0,170,160,145,4594,1578,55,92,11753,1999,12695,1842,148394,3422,109590,3886,68655,4828,8440,1665,304,196,24200,2470,6759,1682,1232,750,13398,2218,1819,1046,184,212,1189,729,2390,1029,228,185,7588,1689,25406,2286,269486,3065,202620,5112,139489,4889,17639,2691,1867,720,34544,3147,7525,1643,1556,422,33335,3262,4950,1333,756,520,79,89,3728,875,4400,1260,504,299,18918,2400,33531,3290,101153,1474,25279,2318,2557,584,246,228,22391,2297,0,170,85,92,74552,2783,91,103,28842,2484,7041,1294,10699,1367,80,129,3293,744,24506,2193,1322,473
04000US04,Arizona,7321507,3882,1684628,4534,1416580,13852,774305,20765,86212,8778,2058,1250,524836,16845,26715,5153,2454,2270,122590,8818,21616,2736,759,386,4243,1475,10654,2855,166,164,85152,8503,145458,11285,1580918,6276,1222987,14507,851992,14666,95006,7160,2871,1362,250799,10947,14554,2829,7765,2206,97354,7437,34971,5290,1244,865,7458,1862,6728,1352,1878,816,45075,4856,260577,11974,2637709,4498,2101684,14609,1518275,17361,197822,9240,32657,3426,314814,12102,24875,3075,13241,1981,226673,8009,54806,4010,9807,1943,3689,1218,37288,3965,15252,2834,6017,1075,99814,5750,309352,11437,1418252,2387,596305,13820,38651,4082,9690,1991,546528,13142,463,457,973,629,809842,13706,1922,769,174335,7875,231179,8741,116804,7736,100,168,35466,3048,250036,8273,12105,2544
04000US05,Arkansas,3013015,1312,743227,3508,643316,8892,280374,10275,32569,4589,1440,951,318652,12012,10052,2793,229,170,50037,4945,7825,1701,373,381,2832,1326,3807,1273,55,89,35145,4387,49874,6481,623551,5323,482106,6983,312400,8054,48304,4194,1949,917,113685,6225,4680,1126,1088,563,43124,3604,15790,2271,133,159,5174,1530,3179,1338,79,88,18769,2373,98321,5512,1113040,5201,873391,9484,589811,8972,90591,6020,29313,2884,143869,6668,10980,2225,8827,2080,122057,6529,22714,3311,3676,850,4023,1017,34222,3654,4141,1158,4146,1278,49135,3623,117592,6573,533197,3168,213619,6405,9510,1740,2007,761,201010,6286,88,147,1004,602,316578,6884,689,406,55934,3546,101517,4284,41594,3349,83,137,20157,2042,96604,5190,3000,1117
04000US06,California,38495524,7153,8958890,10149,8005132,23918,3987576,35035,513215,17461,26920,5373,3383681,41267,89114,7201,4626,2166,668476,21444,131864,8565,3606,1090,26288,3030,34295,4599,1874,844,470549,19582,285282,13558,8513048,12158,7093272,22683,4347883,36531,699146,17580,30823,4104,1941735,25620,55977,5790,17708,2887,540603,13145,198814,9964,6569,1605,31007,3293,24723,2932,6064,1658,273426,9097,879173,17222,14819243,7457,12490619,31158,8352079,34117,1340599,24517,150040,7473,2551941,31407,57520,4661,38440,3396,1101313,20070,332401,11925,35836,4061,12526,2046,205270,7773,35520,4106,20240,2798,459520,12841,1227311,26873,6204343,4562,2456955,22664,279126,9214,42691,3847,2129681,20173,1467,648,3990,1065,3680771,24032,10696,1524,1009807,16087,764978,13991,974792,16648,1196,510,91407,4739,827895,16317,66617,4952
04000US08,Colorado,5776484,4347,1281784,5432,1136401,12163,646150,14240,71507,6925,3676,1952,374091,13638,39966,5600,1011,519,92471,8390,13308,2970,348,264,1817,848,11401,3142,70,129,65527,6629,52912,5656,1339419,7649,1110470,10174,784246,13557,110368,7328,2684,823,189259,9174,18727,2724,5186,1619,90469,5891,28900,3379,585,317,3565,973,9152,1861,526,363,47741,3976,138480,7549,2229462,5291,1863870,12462,1367984,14545,207909,8579,18733,2590,230220,9026,28687,3784,10337,1732,175602,8174,37698,3864,4209,1164,2121,695,24206,2384,14671,2323,3523,977,89174,5274,189990,7935,925819,2585,412082,8397,33564,3005,3335,787,374694,8815,172,142,317,222,507872,8396,664,540,120534,6181,148499,5862,62576,4351,340,420,20102,1998,155157,5865,5865,1364
04000US09,Connecticut,3573821,1542,774308,3595,694861,7889,405809,9795,36891,4374,1273,909,245510,11036,5378,1811,0,222,52828,5587,8891,1774,222,236,3954,2745,2703,1181,261,331,36797,4873,26619,4646,722746,3825,606823,7699,409002,8936,54496,5576,2263,831,137360,7566,3117,1086,585,368,42720,4304,14051,2431,800,756,3899,1293,1148,588,171,186,22651,3643,73203,6168,1405226,3168,1200109,10035,887042,13838,101235,5539,16579,3125,187700,8555,4260,1086,3293,1139,104987,6696,30407,3261,5353,1495,2413,1021,26796,3092,3173,897,1264,576,35581,3588,100130,7549,671541,1921,266656,6422,28367,2491,3075,1117,234371,6221,0,222,843,513,399668,6322,612,330,125489,5516,93131,4655,67556,4553,0,222,10511,1746,102369,5122,5217,1522
04000US10,Delaware,1017865,1173,226540,1594,197168,4581,112086,6454,7883,1861,455,463,73331,6031,3413,1253,0,204,18527,3302,1275,721,17,28,1127,932,1283,922,0,204,14825,2909,10845,3545,194012,2348,156693,4581,107777,4877,12899,2132,191,189,34830,3619,825,436,171,215,13287,2420,3917,1291,66,96,645,540,1714,949,0,204,6945,1854,24032,3370,381566,1657,315541,4620,237395,6575,23023,2850,6454,1576,44451,4503,2814,967,1404,871,36675,3716,6404,1487,2373,885,608,517,7521,1671,2056,796,487,298,17226,2908,29350,3841,215747,904,67519,3678,5375,1279,585,531,61207,3387,0,204,352,366,146400,3918,534,518,49985,3533,36860,3548,10487,2131,0,204,4966,1256,43568,3221,1828,816
04000US11,District of Columbia,669458,876,134196,1647,119165,6149,66695,5523,7556,2035,71,124,43361,7380,1482,923,0,244,13329,5833,3414,2453,0,244,380,602,850,643,0,244,8685,4731,1702,1174,202526,1719,186525,3378,132197,4885,19199,2659,342,352,33720,4318,870,673,197,209,8751,1676,4224,1074,376,550,565,352,385,477,30,54,3171,1223,7250,2180,246014,1022,220526,3420,163096,5290,12631,2524,818,687,41846,4641,1238,714,897,280,16910,3086,5891,1764,204,217,136,149,2293,903,1105,458,456,155,6825,2267,8578,2033,86722,390,21073,2054,4320,1049,431,301,16114,1941,0,244,208,342,65054,2023,484,405,21607,2230,7563,1493,16050,2169,0,244,766,369,18584,2401,595,385
04000US12,Florida,22276396,5677,4647684,7933,4003628,20901,1822060,28635,435166,15123,13038,3066,1633081,29398,98259,9569,2024,1089,293516,15141,57380,5841,2214,1002,10031,2696,34749,6293,1616,833,187526,11298,350540,14897,4248306,10011,3171603,25056,2039016,25582,617213,17589,12804,2383,435611,13723,53072,5415,13887,2357,248342,12780,90919,7921,3314,1507,18446,3382,17283,2925,2097,1072,116283,7745,828361,20640,8564857,9150,6641747,29772,4369984,36408,1391087,21625,133539,8004,583173,20056,108523,7793,55441,5348,767236,20597,185346,9626,25836,3680,17443,2306,125365,6510,43178,4425,21685,3117,348383,14212,1155874,24397,4815550,4268,2112527,22114,110519,6684,59545,4806,1937215,22059,1574,729,3674,1427,2656401,21965,7591,1861,549429,14008,731563,17318,473217,12746,354,224,112995,6864,781252,12833,46622,4422
