geoid,name,C17002001,"C17002001, Error",C17002002,"C17002002, Error",C17002003,"C17002003, Error",C17002004,"C17002004, Error",C17002005,"C17002005, Error",C17002006,"C17002006, Error",C17002007,"C17002007, Error",C17002008,"C17002008, Error"
05000US01001,"Autauga County, AL",58731,138,3169,853,3106,655,3049,942,2306,620,4040,874,1402,528,41659,1632
05000US01003,"Baldwin County, AL",236041,360,9937,1485,14882,1859,9672,1728,7679,1449,13647,2192,6409,1446,173815,3813
05000US01005,"Barbour County, AL",21650,108,2655,535,2091,552,1507,376,1713,456,1773,461,844,291,11067,701
05000US01007,"Bibb County, AL",20759,276,2393,598,1865,428,609,244,1559,488,2095,636,848,407,11390,930
05000US01009,"Blount County, AL",58665,104,3038,569,5231,814,2689,617,2178,523,4230,822,2313,636,38986,1246
05000US01011,"Bullock County, AL",9138,72,880,396,1464,424,1100,510,1100,403,739,365,224,226,3631,518
05000US01013,"Butler County, AL",18467,60,1546,392,2335,567,1191,390,930,232,1491,365,366,166,10608,627
05000US01015,"Calhoun County, AL",112002,334,9743,1233,9815,1183,6945,1319,4443,730,9167,1281,3095,765,68794,2116
05000US01017,"Chambers County, AL",33682,157,2113,542,3101,623,2501,651,1982,692,3003,645,1686,637,19296,1108
05000US01019,"Cherokee County, AL",24829,113,1225,314,2381,526,1767,426,1177,390,2078,482,677,245,15524,843
05000US01021,"Chilton County, AL",44885,135,2449,514,3662,822,2216,908,1843,516,4079,898,1338,485,29298,1119
05000US01023,"Choctaw County, AL",12355,46,925,260,1488,385,494,176,1082,392,714,230,265,144,7387,449
05000US01025,"Clarke County, AL",22426,72,1988,503,2619,652,1020,316,849,288,1607,494,635,326,13708,955
05000US01027,"Clay County, AL",13870,71,903,340,1392,469,1248,436,480,225,1268,555,745,333,7834,704
05000US01029,"Cleburne County, AL",15082,26,679,215,1305,477,886,408,1120,364,958,350,308,157,9826,705
05000US01031,"Coffee County, AL",53403,101,4120,552,5289,713,2666,652,2285,405,2873,577,1295,358,34875,839
05000US01033,"Colbert County, AL",57038,173,4382,819,5244,947,1641,393,2383,647,4350,836,1962,631,37076,1406
05000US01035,"Conecuh County, AL",11308,37,1273,406,1852,554,732,301,873,331,763,306,289,156,5526,527
05000US01037,"Coosa County, AL",9986,10,518,281,643,210,477,279,892,306,874,316,275,145,6307,577
05000US01039,"Covington County, AL",37028,81,2950,572,3731,701,2592,628,1669,368,3925,620,1526,513,20635,1040
05000US01041,"Crenshaw County, AL",12853,60,925,275,1156,248,869,249,529,187,1169,319,332,191,7873,569
05000US01043,"Cullman County, AL",88470,47,5281,1153,7018,1061,3394,655,5187,808,7873,1259,2656,582,57061,1919
05000US01045,"Dale County, AL",48517,110,5007,904,4071,559,3399,651,2456,410,2862,605,2206,541,28516,1179
05000US01047,"Dallas County, AL",37061,85,3837,760,6911,1067,2601,538,2394,629,2573,536,781,265,17964,1313
