NAME,B01003_001E,state,county
"Autauga County, Alabama",59285,01,001
"Baldwin County, Alabama",239945,01,003
"Barbour County, Alabama",24757,01,005
"Bibb County, Alabama",22152,01,007
"Blount County, Alabama",59292,01,009
"Bullock County, Alabama",10157,01,011
"Butler County, Alabama",18807,01,013
"Calhoun County, Alabama",116141,01,015
"Chambers County, Alabama",34450,01,017
"Cherokee County, Alabama",25224,01,019
"Chilton County, Alabama",45500,01,021
"Choctaw County, Alabama",12525,01,023
"Clarke County, Alabama",22802,01,025
"Clay County, Alabama",14188,01,027
"Cleburne County, Alabama",15254,01,029
"Coffee County, Alabama",54231,01,031
"Colbert County, Alabama",57648,01,033
"Conecuh County, Alabama",11411,01,035
"Coosa County, Alabama",10323,01,037
"Covington County, Alabama",37647,01,039
"Crenshaw County, Alabama",13144,01,041
"Cullman County, Alabama",89463,01,043
"Dale County, Alabama",49516,01,045
"Dallas County, Alabama",37536,01,047
"DeKalb County, Alabama",71946,01,049
"Elmore County, Alabama",88669,01,051
"Escambia County, Alabama",36695,01,053
"Etowah County, Alabama",103208,01,055
"Fayette County, Alabama",16173,01,057
"Franklin County, Alabama",31978,01,059
"Geneva County, Alabama",26726,01,061
"Greene County, Alabama",7589,01,063
"Hale County, Alabama",14749,01,065
"Henry County, Alabama",17450,01,067
"Houston County, Alabama",107628,01,069
"Jackson County, Alabama",52839,01,071
"Jefferson County, Alabama",669744,01,073
"Lamar County, Alabama",13809,01,075
"Lauderdale County, Alabama",95037,01,077
"Lawrence County, Alabama",33182,01,079
"Lee County, Alabama",177663,01,081
"Limestone County, Alabama",107577,01,083
"Lowndes County, Alabama",10008,01,085
"Macon County, Alabama",18951,01,087
"Madison County, Alabama",397135,01,089
"Marengo County, Alabama",19027,01,091
"Marion County, Alabama",29190,01,093
"Marshall County, Alabama",98712,01,095
"Mobile County, Alabama",413162,01,097
"Monroe County, Alabama",19580,01,099
"Montgomery County, Alabama",227197,01,101
"Morgan County, Alabama",123742,01,103
"Perry County, Alabama",8231,01,105
"Pickens County, Alabama",18843,01,107
"Pike County, Alabama",32953,01,109
"Randolph County, Alabama",22310,01,111
"Russell County, Alabama",58858,01,113
"St. Clair County, Alabama",92903,01,115
"Shelby County, Alabama",226955,01,117
"Sumter County, Alabama",12020,01,119
"Talladega County, Alabama",81170,01,121
"Tallapoosa County, Alabama",41070,01,123
"Tuscaloosa County, Alabama",234036,01,125
"Walker County, Alabama",64886,01,127
"Washington County, Alabama",15270,01,129
"Wilcox County, Alabama",10347,01,131
"Winston County, Alabama",23637,01,133
"Aleutians East Borough, Alaska",3423,02,013
"Aleutians West Census Area, Alaska",5178,02,016
"Anchorage Municipality, Alaska",289069,02,020
"Bethel Census Area, Alaska",18487,02,050
"Bristol Bay Borough, Alaska",878,02,060
"Chugach Census Area, Alaska",6964,02,063
"Copper River Census Area, Alaska",2626,02,066
"Denali Borough, Alaska",2029,02,068
"Dillingham Census Area, Alaska",4780,02,070
"Fairbanks North Star Borough, Alaska",95555,02,090
"Haines Borough, Alaska",2077,02,100
"Hoonah-Angoon Census Area, Alaska",2313,02,105
"Juneau City and Borough, Alaska",31969,02,110
"Kenai Peninsula Borough, Alaska",59843,02,122
"Ketchikan Gateway Borough, Alaska",13870,02,130
"Kodiak Island Borough, Alaska",12878,02,150
"Kusilvak Census Area, Alaska",8277,02,158
"Lake and Peninsula Borough, Alaska",1007,02,164
"Matanuska-Susitna Borough, Alaska",110677,02,170
"Nome Census Area, Alaska",9925,02,180
"North Slope Borough, Alaska",10891,02,185
"Northwest Arctic Borough, Alaska",7611,02,188
"Petersburg Borough, Alaska",3394,02,195
"Prince of Wales-Hyder Census Area, Alaska",5730,02,198
"Sitka City and Borough, Alaska",8393,02,220
"Skagway Municipality, Alaska",1308,02,230
