NAME,B01003_001E,state
Mississippi,2984100,28
Missouri,6113532,29
Montana,1050493,30
Nebraska,1920076,31
Nevada,2998039,32
New Hampshire,1342795,33
New Jersey,9005644,34
New Mexico,2088070,35
New York,19849399,36
North Carolina,10273419,37
North Dakota,755393,38
Ohio,11658609,39
Oklahoma,3930864,40
Oregon,4142776,41
Pennsylvania,12805537,42
Rhode Island,1059639,44
South Carolina,5024369,45
South Dakota,869666,46
Tennessee,6715984,47
Texas,28304596,48
Vermont,623657,50
Utah,3101833,49
Virginia,8470020,51
Washington,7405743,53
West Virginia,1815857,54
Wisconsin,5795483,55
Wyoming,579315,56
Puerto Rico,3337177,72
Alabama,4874747,01
Alaska,739795,02
Arizona,7016270,04
Arkansas,3004279,05
California,39536653,06
Colorado,5607154,08
Delaware,961939,10
District of Columbia,693972,11
Connecticut,3588184,09
Florida,20984400,12
Georgia,10429379,13
Idaho,1716943,16
Hawaii,1427538,15
Illinois,12802023,17
Indiana,6666818,18
Iowa,3145711,19
Kansas,2913123,20
Kentucky,4454189,21
Louisiana,4684333,22
Maine,1335907,23
Maryland,6052177,24
Massachusetts,6859819,25
Michigan,9962311,26
Minnesota,5576606,27
