jurisdiction,year,month,rate_time,drug_rate,opioid_rate,fentanyl_rate,heroin_rate,stimulant_rate,cocaine_rate,methamphetamine_rate,benzodiazepine_rate
AK,2019,1,Annual,§,§,§,§,§,§,§,§
AK,2019,2,Annual,§,§,§,§,§,§,§,§
AK,2019,3,Annual,§,§,§,§,§,§,§,§
AK,2019,4,Annual,§,§,§,§,§,§,§,§
AK,2019,5,Annual,§,§,§,§,§,§,§,§
AK,2019,6,Annual,§,§,§,§,§,§,§,§
AK,2019,7,Annual,§,§,§,§,§,§,§,§
AK,2019,8,Annual,§,§,§,§,§,§,§,§
AK,2019,9,Annual,§,§,§,§,§,§,§,§
AK,2019,10,Annual,§,§,§,§,§,§,§,§
AK,2019,11,Annual,§,§,§,§,§,§,§,§
AK,2019,12,Annual,76.4,16.2,*,4.3,10.8,1.4,8.0,1.7
AK,2020,1,Annual,76.6,16.3,*,4.4,10.5,1.3,7.7,1.7
AK,2020,2,Annual,76.0,16.5,*,4.4,10.3,1.2,7.6,1.5
AK,2020,3,Annual,*,*,*,*,*,*,*,*
AK,2020,4,Annual,*,*,*,*,*,*,*,*
AK,2020,5,Annual,*,*,*,*,*,*,*,*
AK,2020,6,Annual,*,*,*,*,*,*,*,*
AK,2020,7,Annual,*,*,*,*,*,*,*,*
AK,2020,8,Annual,*,*,*,*,*,*,*,*
AK,2020,9,Annual,*,*,*,*,*,*,*,*
AK,2020,10,Annual,*,*,*,*,*,*,*,*
AK,2020,11,Annual,*,*,*,*,*,*,*,*
AK,2020,12,Annual,*,*,*,*,*,*,*,*
AK,2021,1,Annual,*,*,*,*,*,*,*,*
AK,2021,2,Annual,*,*,*,*,*,*,*,*
AK,2021,3,Annual,*,*,*,*,*,*,*,*
AK,2021,4,Annual,*,*,*,*,*,*,*,*
AK,2021,5,Annual,*,*,*,*,*,*,*,*
AK,2021,6,Annual,*,*,*,*,*,*,*,*
AK,2021,7,Annual,*,*,*,*,*,*,*,*
AK,2021,8,Annual,99.3,30.6,*,10.1,12.8,1.7,9.8,2.1
AK,2021,9,Annual,98.0,30.2,*,10.0,12.2,1.7,9.2,1.9
AK,2021,10,Annual,98.5,31.2,*,10.4,12.4,1.7,9.4,2.1
AK,2021,11,Annual,99.5,31.9,0.7,10.4,12.9,1.6,9.9,2.4
AK,2021,12,Annual,99.7,32.7,0.9,11.0,13.0,1.8,9.8,2.3
AK,2022,1,Annual,98.4,32.8,1.0,10.8,12.7,1.9,9.4,2.3
AK,2022,2,Annual,97.8,32.3,1.0,10.8,12.4,1.8,9.4,2.1
AK,2022,3,Annual,97.9,32.4,1.0,10.6,11.9,1.5,9.0,2.2
AK,2022,4,Annual,96.6,30.8,1.0,9.7,11.6,1.5,8.4,2.1
AK,2022,5,Annual,91.0,28.6,1.1,8.4,10.4,1.4,7.3,2.0
AK,2022,6,Annual,89.6,27.9,1.3,8.1,9.8,1.3,6.7,1.9
AK,2022,7,Annual,87.8,27.0,1.5,7.3,9.0,1.1,5.9,1.8
AK,2022,8,Annual,87.9,26.8,1.5,7.4,8.4,1.2,5.3,1.9
AK,2022,9,Annual,88.1,26.9,1.7,7.2,8.2,1.1,5.1,1.8
AK,2022,10,Annual,86.7,26.2,1.9,6.5,8.0,1.2,4.8,1.6
AK,2022,11,Annual,83.2,25.0,1.9,6.2,7.4,1.2,4.3,1.4
AK,2022,12,Annual,80.3,23.5,2.1,4.9,6.8,1.1,4.0,1.3
AK,2023,1,Annual,80.6,23.6,2.1,4.8,6.7,0.9,4.0,1.2
AK,2023,2,Annual,80.9,23.6,2.3,4.5,6.5,1.0,3.7,1.2
AK,2023,3,Annual,79.1,23.3,2.6,3.6,6.2,0.9,3.6,1.0
AK,2023,4,Annual,78.9,23.3,3.0,3.1,6.0,0.9,3.8,1.0
AK,2023,5,Annual,81.3,24.1,3.4,2.9,6.1,0.9,3.8,1.0
AK,2023,6,Annual,81.6,24.7,3.8,2.6,6.3,1.0,4.0,1.0
AK,2023,7,Annual,82.6,25.1,3.9,2.4,6.7,1.1,4.5,0.9
AK,2023,8,Annual,84.3,26.2,4.9,1.9,6.8,1.0,4.7,0.8
AK,2023,9,Annual,84.5,26.8,5.2,1.7,7.0,1.1,5.1,0.9
AK,2023,10,Annual,84.9,27.8,5.8,1.6,6.5,0.9,4.8,0.9
AK,2023,11,Annual,88.0,29.7,6.4,1.5,6.4,1.0,4.6,1.0
AK,2023,12,Annual,90.3,31.5,7.4,1.4,6.4,1.0,4.5,1.0
AK,2024,1,Annual,91.0,32.5,8.3,1.2,6.3,1.0,4.4,1.1
AK,2024,2,Annual,90.5,33.5,9.0,1.1,6.1,0.9,4.2,1.1
AK,2024,3,Annual,91.4,34.2,9.5,1.1,5.9,1.0,4.1,1.0
AK,2024,4,Annual,91.5,35.4,9.9,1.1,5.6,1.0,3.7,1.0
AK,2024,5,Annual,92.1,36.0,10.1,1.0,5.5,0.9,3.7,1.0
AK,2024,6,Annual,92.5,36.3,10.5,0.8,5.6,1.0,3.7,1.0
AK,2024,7,Annual,91.7,36.3,10.9,0.8,5.4,1.0,3.6,1.1
AK,2024,8,Annual,89.4,35.0,10.1,0.8,5.4,1.0,3.5,1.2
AK,2024,9,Annual,88.0,33.7,9.7,0.8,5.2,1.1,3.3,1.1
AK,2024,10,Annual,86.1,32.1,9.1,0.7,5.3,1.1,3.4,1.1
AK,2024,11,Annual,84.1,30.9,8.9,0.7,5.2,1.0,3.3,1.1
AK,2024,12,Annual,81.9,28.7,8.0,0.6,4.9,1.0,3.2,1.0
AK,2025,1,Annual,80.4,27.7,7.5,0.6,4.7,1.0,3.0,0.9
AK,2025,2,Annual,79.5,27.1,7.2,0.6,4.9,1.1,3.1,1.0
AK,2025,3,Annual,78.2,26.5,7.0,0.6,4.7,1.1,2.9,1.1
AK,2025,4,Annual,77.4,25.5,6.8,0.6,4.5,1.0,2.8,1.0
AK,2025,5,Annual,74.9,24.6,6.7,0.6,4.2,0.9,2.7,1.0
AK,2025,6,Annual,73.5,23.6,6.3,0.6,4.1,0.9,2.7,1.0
AL,2019,1,Annual,§,§,§,§,§,§,§,§
AL,2019,2,Annual,§,§,§,§,§,§,§,§
AL,2019,3,Annual,§,§,§,§,§,§,§,§
AL,2019,4,Annual,§,§,§,§,§,§,§,§
AL,2019,5,Annual,§,§,§,§,§,§,§,§
AL,2019,6,Annual,§,§,§,§,§,§,§,§
AL,2019,7,Annual,§,§,§,§,§,§,§,§
AL,2019,8,Annual,§,§,§,§,§,§,§,§
AL,2019,9,Annual,§,§,§,§,§,§,§,§
AL,2019,10,Annual,§,§,§,§,§,§,§,§
AL,2019,11,Annual,§,§,§,§,§,§,§,§
AL,2019,12,Annual,52.8,9.9,0.2,2.6,5.0,1.8,1.8,2.3
AL,2020,1,Annual,52.3,9.8,0.2,2.6,4.8,1.7,1.8,2.2
AL,2020,2,Annual,52.5,9.7,0.2,2.7,4.8,1.7,1.8,2.0
AL,2020,3,Annual,*,*,*,*,*,*,*,*
AL,2020,4,Annual,*,*,*,*,*,*,*,*
AL,2020,5,Annual,*,*,*,*,*,*,*,*
AL,2020,6,Annual,*,*,*,*,*,*,*,*
AL,2020,7,Annual,*,*,*,*,*,*,*,*
AL,2020,8,Annual,*,*,*,*,*,*,*,*
AL,2020,9,Annual,*,*,*,*,*,*,*,*
AL,2020,10,Annual,*,*,*,*,*,*,*,*
AL,2020,11,Annual,*,*,*,*,*,*,*,*
AL,2020,12,Annual,*,*,*,*,*,*,*,*
AL,2021,1,Annual,*,*,*,*,*,*,*,*
AL,2021,2,Annual,*,*,*,*,*,*,*,*
AL,2021,3,Annual,*,*,*,*,*,*,*,*
AL,2021,4,Annual,*,*,*,*,*,*,*,*
AL,2021,5,Annual,*,*,*,*,*,*,*,*
AL,2021,6,Annual,*,*,*,*,*,*,*,*
AL,2021,7,Annual,*,*,*,*,*,*,*,*
AL,2021,8,Annual,74.1,20.4,1.3,6.2,5.4,1.9,1.5,2.4
AL,2021,9,Annual,73.3,20.3,1.3,6.1,5.2,1.7,1.4,2.3
AL,2021,10,Annual,73.3,20.4,1.5,6.0,5.0,1.6,1.4,2.3
AL,2021,11,Annual,73.0,20.3,1.5,6.0,5.0,1.6,1.4,2.2
AL,2021,12,Annual,71.9,19.9,1.6,5.6,4.8,1.5,1.4,2.1
AL,2022,1,Annual,70.3,19.4,1.7,5.3,4.5,1.4,1.3,2.0
AL,2022,2,Annual,69.7,19.3,1.8,5.1,4.4,1.2,1.4,1.9
AL,2022,3,Annual,68.1,18.7,1.9,4.7,4.2,1.2,1.3,1.9
