jurisdiction,month,year,time_frame,dataset,count_alldrug,count_opioid,count_fentanyl,count_heroin,count_stimulant,count_cocaine,count_methamphetamine,count_benzodiazepine,population,rate_alldrug,rate_opioid,rate_fentanyl,rate_heroin,rate_stimulant,rate_cocaine,rate_methamphetamine,rate_benzodiazepine
AK,all,2018,annual,ED,792,230,NA,135,48,suppressed,NA,44,736624,107.5,31.2,NA,18.3,6.5,suppressed,NA,6
AK,all,2018,annual,HOSP,335,107,NA,27,53,suppressed,NA,26,736624,45.5,14.5,NA,3.7,7.2,suppressed,NA,3.5
AK,all,2019,annual,ED,768,249,NA,126,44,suppressed,NA,27,733603,104.7,33.9,NA,17.2,6,suppressed,NA,3.7
AK,all,2019,annual,HOSP,346,112,NA,25,70,19,NA,22,733603,47.2,15.3,NA,3.4,9.5,suppressed,NA,3
AK,all,2020,annual,ED,814,320,NA,131,50,suppressed,NA,28,732964,111.1,43.7,NA,17.9,6.8,suppressed,NA,3.8
AK,all,2020,annual,HOSP,370,114,NA,28,79,15,NA,36,732964,50.5,15.6,NA,3.8,10.8,suppressed,NA,4.9
AK,all,2021,annual,ED,957,499,13,251,40,suppressed,NA,36,734923,130.2,67.9,suppressed,34.2,5.4,suppressed,NA,4.9
AK,all,2021,annual,HOSP,355,129,suppressed,33,56,13,NA,24,734923,48.3,17.6,suppressed,4.5,7.6,suppressed,NA,3.3
AK,all,2022,annual,ED,885,376,54,122,44,suppressed,NA,24,733276,120.7,51.3,7.4,16.6,6,suppressed,NA,3.3
AK,all,2022,annual,HOSP,373,128,18,29,80,15,NA,12,733276,50.9,17.5,suppressed,4,10.9,suppressed,NA,suppressed
AK,all,2023,annual,ED,1171,596,203,29,48,suppressed,22,22,733406,159.7,81.3,27.7,4,6.5,suppressed,3,3
AK,all,2023,annual,HOSP,435,188,81,11,93,19,49,21,733406,59.3,25.6,11,suppressed,12.7,suppressed,6.7,2.9
AZ,all,2018,annual,ED,7961,2626,NA,834,584,101,NA,569,7164228,111.1,36.7,NA,11.6,8.2,1.4,NA,7.9
AZ,all,2018,annual,HOSP,3858,1538,NA,294,734,158,NA,379,7164228,53.9,21.5,NA,4.1,10.2,2.2,NA,5.3
AZ,all,2019,annual,ED,8357,3129,NA,688,536,66,NA,461,7291843,114.6,42.9,NA,9.4,7.4,0.9,NA,6.3
AZ,all,2019,annual,HOSP,4004,1640,NA,250,919,139,NA,326,7291843,54.9,22.5,NA,3.4,12.6,1.9,NA,4.5
AZ,all,2020,annual,ED,8569,3916,NA,442,506,79,NA,425,7186683,119.2,54.5,NA,6.2,7,1.1,NA,5.9
AZ,all,2020,annual,HOSP,3982,1755,NA,170,992,148,NA,296,7186683,55.4,24.4,NA,2.4,13.8,2.1,NA,4.1
AZ,all,2021,annual,ED,8880,4021,1424,176,515,78,NA,374,7272487,122.1,55.3,19.6,2.4,7.1,1.1,NA,5.1
AZ,all,2021,annual,HOSP,3839,1633,614,53,941,150,NA,254,7272487,52.8,22.5,8.4,0.7,12.9,2.1,NA,3.5
AZ,all,2022,annual,ED,8200,3559,1551,92,403,78,NA,276,7365684,111.3,48.3,21.1,1.2,5.5,1.1,NA,3.7
AZ,all,2022,annual,HOSP,3541,1746,817,35,816,128,NA,192,7365684,48.1,23.7,11.1,0.5,11.1,1.7,NA,2.6
AZ,all,2023,annual,ED,8580,3745,1825,42,393,80,112,297,7431344,115.5,50.4,24.6,0.6,5.3,1.1,1.5,4
AZ,all,2023,annual,HOSP,3699,1792,945,25,889,153,447,201,7431344,49.8,24.1,12.7,0.3,12,2.1,6,2.7
CA,all,2018,annual,ED,36561,9238,NA,4452,3717,757,NA,3110,39437463,92.7,23.4,NA,11.3,9.4,1.9,NA,7.9
CA,all,2018,annual,HOSP,17514,4990,NA,915,4498,1157,NA,1794,39437463,44.4,12.7,NA,2.3,11.4,2.9,NA,4.5
