jurisdiction,sex,age,month,year,time_frame,dataset,population,count_alldrug,count_opioid,count_fentanyl,count_heroin,count_stimulant,count_cocaine,count_methamphetamine,count_benzodiazepine,rate_alldrug,rate_opioid,rate_fentanyl,rate_heroin,rate_stimulant,rate_cocaine,rate_methamphetamine,rate_benzodiazepine
US,F,0-14,1,2018,monthly,ED,21270841,1689,45,NA,0,61,suppressed,NA,55,7.9,0.2,NA,0,0.3,suppressed,NA,0.3
US,F,0-14,2,2018,monthly,ED,21270841,1584,49,NA,suppressed,76,suppressed,NA,61,7.4,0.2,NA,suppressed,0.4,suppressed,NA,0.3
US,F,0-14,3,2018,monthly,ED,21270841,1642,36,NA,0,79,suppressed,NA,62,7.7,0.2,NA,0,0.4,suppressed,NA,0.3
US,F,0-14,4,2018,monthly,ED,21270841,1650,45,NA,0,72,suppressed,NA,64,7.8,0.2,NA,0,0.3,suppressed,NA,0.3
US,F,0-14,5,2018,monthly,ED,21270841,1799,48,NA,suppressed,69,suppressed,NA,64,8.5,0.2,NA,suppressed,0.3,suppressed,NA,0.3
US,F,0-14,6,2018,monthly,ED,21270841,1535,57,NA,suppressed,52,0,NA,52,7.2,0.3,NA,suppressed,0.2,0,NA,0.2
US,F,0-14,7,2018,monthly,ED,21270841,1575,55,NA,0,77,suppressed,NA,44,7.4,0.3,NA,0,0.4,suppressed,NA,0.2
US,F,0-14,8,2018,monthly,ED,21270841,1709,65,NA,0,76,suppressed,NA,59,8,0.3,NA,0,0.4,suppressed,NA,0.3
US,F,0-14,9,2018,monthly,ED,21270841,1566,53,NA,suppressed,64,suppressed,NA,62,7.4,0.2,NA,suppressed,0.3,suppressed,NA,0.3
US,F,0-14,10,2018,monthly,ED,21270841,1712,59,NA,suppressed,61,suppressed,NA,62,8,0.3,NA,suppressed,0.3,suppressed,NA,0.3
US,F,0-14,11,2018,monthly,ED,21270841,1594,47,NA,suppressed,69,0,NA,48,7.5,0.2,NA,suppressed,0.3,0,NA,0.2
US,F,0-14,12,2018,monthly,ED,21270841,1578,56,NA,0,65,suppressed,NA,54,7.4,0.3,NA,0,0.3,suppressed,NA,0.3
US,F,0-14,all,2018,annual,ED,21270841,19633,615,NA,14,821,18,NA,687,92.3,2.9,NA,suppressed,3.9,suppressed,NA,3.2
US,F,15-24,1,2018,monthly,ED,14893102,1645,417,NA,294,100,29,NA,158,11,2.8,NA,2,0.7,0.2,NA,1.1
US,F,15-24,2,2018,monthly,ED,14893102,1523,401,NA,269,130,39,NA,152,10.2,2.7,NA,1.8,0.9,0.3,NA,1
US,F,15-24,3,2018,monthly,ED,14893102,1705,462,NA,312,111,28,NA,146,11.4,3.1,NA,2.1,0.7,0.2,NA,1
US,F,15-24,4,2018,monthly,ED,14893102,1668,431,NA,293,112,25,NA,143,11.2,2.9,NA,2,0.8,0.2,NA,1
US,F,15-24,5,2018,monthly,ED,14893102,1663,449,NA,300,140,34,NA,132,11.2,3,NA,2,0.9,0.2,NA,0.9
US,F,15-24,6,2018,monthly,ED,14893102,1549,452,NA,329,117,31,NA,124,10.4,3,NA,2.2,0.8,0.2,NA,0.8
US,F,15-24,7,2018,monthly,ED,14893102,1539,433,NA,310,116,30,NA,118,10.3,2.9,NA,2.1,0.8,0.2,NA,0.8
US,F,15-24,8,2018,monthly,ED,14893102,1579,422,NA,279,124,30,NA,139,10.6,2.8,NA,1.9,0.8,0.2,NA,0.9
US,F,15-24,9,2018,monthly,ED,14893102,1708,431,NA,278,130,29,NA,138,11.5,2.9,NA,1.9,0.9,0.2,NA,0.9
US,F,15-24,10,2018,monthly,ED,14893102,1809,453,NA,310,115,30,NA,148,12.1,3,NA,2.1,0.8,0.2,NA,1
US,F,15-24,11,2018,monthly,ED,14893102,1595,402,NA,245,110,27,NA,142,10.7,2.7,NA,1.6,0.7,0.2,NA,1
