State,Year,Month,od_mort,StateYear,Population,od_mort_100k,State.Name,census_division,total_reports,fentanyl_reports,heroin_reports,meth_reports,meth_percent,fentanyl_percent,heroin_percent
AK,2015,December,121,AK15,737498,16.4068241540994,Alaska,Pacific,1863,1,453,633,33.97745571658615,0.05367686527106817,24.315619967793882
AK,2016,December,129,AK16,741456,17.39820029779245,Alaska,Pacific,1555,12,426,646,41.543408360128616,0.7717041800643086,27.39549839228296
AK,2017,December,141,AK17,739700,19.061781803433824,Alaska,Pacific,1660,4,433,689,41.506024096385545,0.24096385542168675,26.08433734939759
AK,2018,December,105,AK18,735139,14.283013144452953,Alaska,Pacific,962,2,233,380,39.5010395010395,0.2079002079002079,24.22037422037422
AK,2019,December,133,AK19,731545,18.180699751894963,Alaska,Pacific,358,15,65,113,31.564245810055866,4.189944134078212,18.156424581005588
AK,2020,December,146,AK20,733017,19.917682673116722,Alaska,Pacific,3457,58,576,814,23.54642753832803,1.6777552791437662,16.661845530807057
AK,2021,December,255,AK21,734420,34.7212766536859,Alaska,Pacific,2914,143,631,978,33.562113932738505,4.907343857240906,21.654083733699384
AK,2022,December,247,AK22,734442,33.63097426345443,Alaska,Pacific,2305,313,367,796,34.533622559652926,13.579175704989154,15.921908893709327
AK,2023,December,357,AK23,736510,48.47184695387707,Alaska,Pacific,2453,641,196,799,32.572360375050955,26.13126783530371,7.990216061964941
AK,2024,December,339,AK24,740133,45.80257872571551,Alaska,Pacific,2666,666,120,863,32.37059264816204,24.981245311327832,4.50112528132033
AL,2015,December,720,AL15,4852347,14.838180369211024,Alabama,East South Central,37966,131,1054,3817,10.05373228678291,0.34504556708634043,2.776168150450403
AL,2016,December,740,AL16,4863525,15.2153016587763,Alabama,East South Central,41758,165,1199,5529,13.240576655970113,0.3951338665644906,2.8713060970352986
AL,2017,December,807,AL17,4874486,16.55559170751542,Alabama,East South Central,50832,293,1299,9377,18.44704123386843,0.5764085615360403,2.55547686496695
AL,2018,December,740,AL18,4887681,15.140104274399249,Alabama,East South Central,51585,238,1249,10873,21.077832703305223,0.4613744305515169,2.4212464863817003
AL,2019,December,739,AL19,4903185,15.071835959687427,Alabama,East South Central,52768,511,1603,12315,23.338007883565798,0.9683899332929048,3.0378259551243176
AL,2020,December,989,AL20,5033094,19.64994097070311,Alabama,East South Central,48862,940,1463,10436,21.35811059719209,1.9237853546723425,2.9941467807294013
AL,2021,December,"1,333",AL21,5049196,26.40024273171412,Alabama,East South Central,41459,1198,614,10416,25.123616102655635,2.889601775247835,1.4809812103523963
AL,2022,December,"1,452",AL22,5076181,28.604180977786257,Alabama,East South Central,19646,1471,329,4764,24.249211035325256,7.487529268044385,1.674641148325359
AL,2023,December,"1,598",AL23,5117673,31.225129077219275,Alabama,East South Central,22807,1097,142,8825,38.69426053404656,4.809926776866751,0.6226158635506642
AL,2024,December,"1,176",AL24,5157699,22.800865269570792,Alabama,East South Central,14140,345,30,6191,43.78359264497878,2.43988684582744,0.21216407355021216
AR,2015,December,381,AR15,2978048,12.793615146565804,Arkansas,West South Central,42633,85,194,10310,24.183144512466868,0.1993760701803767,0.45504656017638917
AR,2016,December,386,AR16,2989918,12.910053051622151,Arkansas,West South Central,43633,63,353,12717,29.145371622395892,0.1443861297641693,0.8090206953452662
AR,2017,December,425,AR17,3001345,14.160318124041055,Arkansas,West South Central,43833,153,344,14252,32.51431569821824,0.34905208404626653,0.7847968425615404
AR,2018,December,433,AR18,3009733,14.386658218519717,Arkansas,West South Central,39755,287,356,14302,35.97534901270281,0.7219217708464344,0.895484844673626
AR,2019,December,362,AR19,3017804,11.995477506160109,Arkansas,West South Central,49399,307,366,15507,31.391323711006297,0.621470070244337,0.7409056863499262
AR,2020,December,514,AR20,3014546,17.05066036477798,Arkansas,West South Central,59714,436,420,16056,26.88816692902837,0.7301470341963359,0.7033526476203236
AR,2021,December,627,AR21,3026870,20.714467420140277,Arkansas,West South Central,52182,861,371,16341,31.315396113602393,1.6499942508911118,0.7109731324977961
AR,2022,December,591,AR22,3047704,19.39164695784105,Arkansas,West South Central,40267,1151,138,11693,29.038666898452828,2.8584200461916707,0.342712394764944
AR,2023,December,517,AR23,3069463,16.84333709186265,Arkansas,West South Central,41731,1331,59,11255,26.970357767606814,3.189475449905346,0.1413817066449402
AR,2024,December,389,AR24,3088354,12.59570632123131,Arkansas,West South Central,42370,1174,55,10287,24.278970970025963,2.7708284163323107,0.12980882700023602
AZ,2015,December,"1,267",AZ15,6829676,18.55139248186883,Arizona,Mountain,36712,30,5150,8189,22.30605796469819,0.08171714970581827,14.028110699498802
AZ,2016,December,"1,393",AZ16,6941072,20.068946122443332,Arizona,Mountain,36205,90,4362,8532,23.56580582792432,0.24858444966164894,12.048059660267919
AZ,2017,December,"1,555",AZ17,7044008,22.075500198182628,Arizona,Mountain,36772,389,5310,9386,25.524855868595672,1.057870118568476,14.440335037528554
