Population_0823,od_mort_0823,od_mort_100k_0823,State,Population_1224,od_mort_1224,od_mort_100k_1224,pct_chg,Total.Medicaid.Enrollment,State.Expanded.Medicaid,medicaid_percent,fentanyl_percent_23,meth_percent_23,heroin_percent_23,fentanyl_percent_24,meth_percent_24,heroin_percent_24,pct_chg_fentanyl,pct_chg_meth,pct_chg_heroin,uninsured_percent,poverty_percent
736510,297,40.3253180540658,AK,740133,339,45.8025787257155,14.141414141414142,232106,Y,31.360039344280015,26.13126783530371,32.572360375050955,7.990216061964941,24.981245311327832,32.37059264816204,4.50112528132033,-4.400944229817204,-0.619444598321044,-43.667039208781794,11,9.7
5117673,1589,31.049267899688,AL,5157699,1176,22.8008652695708,-25.991189427312776,772748,N,14.982417547049566,4.809926776866751,38.69426053404656,0.6226158635506642,2.43988684582744,43.78359264497878,0.21216407355021216,-49.27392954167144,13.152679598190495,-65.9237603840867,8.2,14.7
3069463,545,17.7555487718862,AR,3088354,389,12.5957063212313,-28.623853211009173,741143,Y,23.997993753306776,3.189475449905346,26.970357767606814,0.1413817066449402,2.7708284163323107,24.278970970025963,0.12980882700023602,-13.125889825722272,-9.979054860048555,-8.185556617850008,9.4,14.5
7473027,2829,37.8561458429094,AZ,7582384,2531,33.3800029120129,-10.533757511488158,1778734,Y,23.45876969565245,42.48188187706161,17.732887101822648,1.0931066862494883,42.543596859134055,22.563148434297247,1.6177351707609346,0.1452736539568611,27.239001211360154,47.994261778004194,10.3,11.6
39198693,12593,32.126071142219,CA,39431263,9687,24.5668012206457,-23.07631223695704,12254163,Y,31.07727743846298,12.413190275389743,45.4253796574678,2.8931772119069805,11.11088390164102,46.16532897091151,2.1788252134348958,-10.491310814196257,1.6289336908647365,-24.690917498317837,5.9,11.2
5901339,1935,32.7891686954435,CO,5957493,1640,27.5283579854815,-15.24547803617571,1077236,Y,18.082035513931782,25.071794231489573,26.13310026220502,2.6844799600449494,29.051782111634164,25.801389822909663,2.8468953149518046,15.87436400999902,-1.2693114707675641,6.050160825344202,7.9,8.1
3643023,1453,39.8844585938656,CT,3675069,998,27.1559527181667,-31.31452167928424,905379,Y,24.63570071745592,26.820908311910884,5.141388174807198,8.56898029134533,21.768707482993197,7.374149659863946,3.1564625850340136,-18.836799895677128,43.42721088435374,-63.164081632653065,5.8,9.2
687324,638,92.8237628832981,DC,702250,408,58.0989676041296,-36.05015673981191,242560,Y,34.54040583837665,21.422060164083867,1.0027347310847767,3.6463081130355515,17.186311787072242,4.030418250950571,4.638783269961977,-19.772833913113836,301.94262011752505,27.218631178707227,4.5,12.4
1036423,551,53.1636214171241,DE,1051917,351,33.3676516303092,-36.29764065335753,236840,Y,22.515084365021195,21.64179104477612,7.462686567164179,4.975124378109452,17.898832684824903,8.560311284046692,5.836575875486381,-17.295048973567692,14.708171206225675,17.31517509727627,6.9,8.5
22904868,7613,33.2374759810884,FL,23372215,5149,22.030432288938,-32.36569026664915,3568648,N,15.26876250282654,9.750039569965788,15.965568042078093,0.45414145349615864,9.124970239214065,17.447965615327746,0.4122652030625415,-6.410941476352553,9.284966055343075,-9.220970715453827,10.9,12.1
