LABTYPE,RPTAGGR,YYYY,PERIOD,DRUG_REPORTS,QUERY_RUN_DATE,SUBSTANCE_ID,SUBSTANCE_DESCRIPTION,BASE_ID,BASE_DESCRIPTION,DRUG_CATEGORY_CODE,DRUG_CATEGORY_DESCRIPTION,STATE,STATE_LONG_NAME,STATE_FIPS
"Local/Municipal,State,Federal,Private",DrugReport  ,2022,2022,2693,2025-08-10 18:30:22,1517,P-FLUOROFENTANYL,1517,para-Fluorofentanyl,33,Fentanyl and Fentanyl-related,OH,Ohio,39
"Local/Municipal,State,Federal,Private",DrugReport  ,2024,2024,282,2025-08-10 18:30:22,2408,FENTANYL SALT UNDETERMINED,1504,Fentanyl,33,Fentanyl and Fentanyl-related,IL,Illinois,17
"Local/Municipal,State,Federal,Private",DrugReport  ,2019,2019,1425,2025-08-10 18:30:22,1504,FENTANYL,1504,Fentanyl,33,Fentanyl and Fentanyl-related,NH,New Hampshire,33
"Local/Municipal,State,Federal,Private",DrugReport  ,2024,2024,590,2025-08-10 18:30:22,3340,ACETYL FENTANYL (N-(1-PHENETHYLPIPERIDIN-4-YL)-N-PHENYLACETAMIDE),3340,Acetyl fentanyl,33,Fentanyl and Fentanyl-related,OH,Ohio,39
"Local/Municipal,State,Federal,Private",DrugReport  ,2019,2019,328,2025-08-10 18:30:22,1504,FENTANYL,1504,Fentanyl,33,Fentanyl and Fentanyl-related,TX,Texas,48
"Local/Municipal,State,Federal,Private",DrugReport  ,2015,2015,1086,2025-08-10 18:30:22,1504,FENTANYL,1504,Fentanyl,33,Fentanyl and Fentanyl-related,PA,Pennsylvania,42
"Local/Municipal,State,Federal,Private",DrugReport  ,2020,2020,214,2025-08-10 18:30:22,3824,VALERYL FENTANYL (N-(1-PHENETHYLPIPERIDIN-4-YL)-N-PHENYLPENTANAMIDE),3824,Valeryl fentanyl,33,Fentanyl and Fentanyl-related,OH,Ohio,39
"Local/Municipal,State,Federal,Private",DrugReport  ,2016,2016,148,2025-08-10 18:30:22,3340,ACETYL FENTANYL (N-(1-PHENETHYLPIPERIDIN-4-YL)-N-PHENYLACETAMIDE),3340,Acetyl fentanyl,33,Fentanyl and Fentanyl-related,NJ,New Jersey,34
"Local/Municipal,State,Federal,Private",DrugReport  ,2019,2019,91,2025-08-10 18:30:22,2408,FENTANYL SALT UNDETERMINED,1504,Fentanyl,33,Fentanyl and Fentanyl-related,WA,Washington,53
"Local/Municipal,State,Federal,Private",DrugReport  ,2023,2023,180,2025-08-10 18:30:22,3965,FLUOROFENTANYL,3965,Fluorofentanyl,33,Fentanyl and Fentanyl-related,IA,Iowa,19
"Local/Municipal,State,Federal,Private",DrugReport  ,2013,2013,9,2025-08-10 18:30:22,1504,FENTANYL,1504,Fentanyl,33,Fentanyl and Fentanyl-related,ND,North Dakota,38
"Local/Municipal,State,Federal,Private",DrugReport  ,2004,2004,4,2025-08-10 18:30:22,1504,FENTANYL,1504,Fentanyl,33,Fentanyl and Fentanyl-related,WV,West Virginia,54
"Local/Municipal,State,Federal,Private",DrugReport  ,2022,2022,13,2025-08-10 18:30:22,3340,ACETYL FENTANYL (N-(1-PHENETHYLPIPERIDIN-4-YL)-N-PHENYLACETAMIDE),3340,Acetyl fentanyl,33,Fentanyl and Fentanyl-related,OK,Oklahoma,40
"Local/Municipal,State,Federal,Private",DrugReport  ,2006,2006,8,2025-08-10 18:30:22,2408,FENTANYL SALT UNDETERMINED,1504,Fentanyl,33,Fentanyl and Fentanyl-related,RI,Rhode Island,44
"Local/Municipal,State,Federal,Private",DrugReport  ,2009,2009,45,2025-08-10 18:30:22,1504,FENTANYL,1504,Fentanyl,33,Fentanyl and Fentanyl-related,OH,Ohio,39
"Local/Municipal,State,Federal,Private",DrugReport  ,2024,2024,30,2025-08-10 18:30:22,2408,FENTANYL SALT UNDETERMINED,1504,Fentanyl,33,Fentanyl and Fentanyl-related,RI,Rhode Island,44
"Local/Municipal,State,Federal,Private",DrugReport  ,2022,2022,5,2025-08-10 18:30:22,3824,VALERYL FENTANYL (N-(1-PHENETHYLPIPERIDIN-4-YL)-N-PHENYLPENTANAMIDE),3824,Valeryl fentanyl,33,Fentanyl and Fentanyl-related,WA,Washington,53
"Local/Municipal,State,Federal,Private",DrugReport  ,2020,2020,30,2025-08-10 18:30:22,3340,ACETYL FENTANYL (N-(1-PHENETHYLPIPERIDIN-4-YL)-N-PHENYLACETAMIDE),3340,Acetyl fentanyl,33,Fentanyl and Fentanyl-related,MO,Missouri,29
"Local/Municipal,State,Federal,Private",DrugReport  ,2018,2018,19,2025-08-10 18:30:22,1021,4-ANILINO-1-PHENETHYLPIPERIDINE,1021,4-ANPP,33,Fentanyl and Fentanyl-related,CT,Connecticut,9
"Local/Municipal,State,Federal,Private",DrugReport  ,2005,2005,8,2025-08-10 18:30:22,1504,FENTANYL,1504,Fentanyl,33,Fentanyl and Fentanyl-related,FL,Florida,12
"Local/Municipal,State,Federal,Private",DrugReport  ,2023,2023,10,2025-08-10 18:30:22,4940,N-PROPIONYL NORFENTANYL,4940,N-Propionyl norfentanyl,33,Fentanyl and Fentanyl-related,CA,California,6
"Local/Municipal,State,Federal,Private",DrugReport  ,2020,2020,3,2025-08-10 18:30:22,1517,P-FLUOROFENTANYL,1517,para-Fluorofentanyl,33,Fentanyl and Fentanyl-related,MA,Massachusetts,25
"Local/Municipal,State,Federal,Private",DrugReport  ,2016,2016,17,2025-08-10 18:30:22,1504,FENTANYL,1504,Fentanyl,33,Fentanyl and Fentanyl-related,ID,Idaho,16
"Local/Municipal,State,Federal,Private",DrugReport  ,2023,2023,35,2025-08-10 18:30:22,1523,BENZYLFENTANYL,1523,Benzylfentanyl,33,Fentanyl and Fentanyl-related,OH,Ohio,39
"Local/Municipal,State,Federal,Private",DrugReport  ,2021,2021,31,2025-08-10 18:30:22,4771,"P-FLUOROFENTANYL, SALT UNDETERMINED",1517,para-Fluorofentanyl,33,Fentanyl and Fentanyl-related,OH,Ohio,39
"Local/Municipal,State,Federal,Private",DrugReport  ,2021,2021,16,2025-08-10 18:30:22,1021,4-ANILINO-1-PHENETHYLPIPERIDINE,1021,4-ANPP,33,Fentanyl and Fentanyl-related,CT,Connecticut,9
"Local/Municipal,State,Federal,Private",DrugReport  ,2021,2021,14,2025-08-10 18:30:22,3340,ACETYL FENTANYL (N-(1-PHENETHYLPIPERIDIN-4-YL)-N-PHENYLACETAMIDE),3340,Acetyl fentanyl,33,Fentanyl and Fentanyl-related,CT,Connecticut,9
"Local/Municipal,State,Federal,Private",DrugReport  ,2018,2018,3,2025-08-10 18:30:22,1021,4-ANILINO-1-PHENETHYLPIPERIDINE,1021,4-ANPP,33,Fentanyl and Fentanyl-related,IA,Iowa,19
"Local/Municipal,State,Federal,Private",DrugReport  ,2017,2017,2,2025-08-10 18:30:22,3853,ACRYL FENTANYL (ACRYLOYLFENTANYL; N-(1-PHENETHYLPIPERIDIN-4-YL)-N-PHENYLACRYLAMIDE),3853,Acryl fentanyl,33,Fentanyl and Fentanyl-related,NC,North Carolina,37
"Local/Municipal,State,Federal,Private",DrugReport  ,2009,2009,13,2025-08-10 18:30:22,1504,FENTANYL,1504,Fentanyl,33,Fentanyl and Fentanyl-related,WI,Wisconsin,55
"Local/Municipal,State,Federal,Private",DrugReport  ,2016,2016,14,2025-08-10 18:30:22,1505,FENTANYL HYDROCHLORIDE,1504,Fentanyl,33,Fentanyl and Fentanyl-related,CA,California,6
