fips,county,state,pop,mort_per_100k,pct_chg_deaths_202308_202412,pct_medicaid_19-64
01001,Autauga,Alabama,57953,,,0.05
01005,Barbour,Alabama,21685,,,0.1
01007,Bibb,Alabama,20781,,,0.11
01011,Bullock,Alabama,9156,,,0.14
01013,Butler,Alabama,18526,,,0.1
01017,Chambers,Alabama,33959,,,0.08
01019,Cherokee,Alabama,24948,,,0.07
01021,Chilton,Alabama,45169,,,0.06
01023,Choctaw,Alabama,12405,,,0.12
01025,Clarke,Alabama,22493,,,0.12
01027,Clay,Alabama,13909,,,0.06
01029,Cleburne,Alabama,15024,,,0.07
01035,Conecuh,Alabama,11332,,,0.21
01037,Coosa,Alabama,9965,,,0.09
01039,Covington,Alabama,37171,,,0.09
01041,Crenshaw,Alabama,12888,,,0.11
01045,Dale,Alabama,46806,,,0.09
01047,Dallas,Alabama,37240,,,0.17
01053,Escambia,Alabama,34239,,,0.11
01057,Fayette,Alabama,15975,,,0.11
01061,Geneva,Alabama,26388,,,0.11
01063,Greene,Alabama,7510,,,0.11
01065,Hale,Alabama,14534,,,0.13
01067,Henry,Alabama,17200,,,0.07
01071,Jackson,Alabama,52303,,,0.1
01075,Lamar,Alabama,13678,,,0.09
01079,Lawrence,Alabama,32932,,,0.05
01085,Lowndes,Alabama,9839,,,0.12
01087,Macon,Alabama,18727,,,0.12
01091,Marengo,Alabama,18806,,,0.11
01093,Marion,Alabama,28556,,,0.09
01099,Monroe,Alabama,19289,,,0.12
01105,Perry,Alabama,8051,,,0.18
01107,Pickens,Alabama,17194,,,0.09
01109,Pike,Alabama,32697,,,0.08
01111,Randolph,Alabama,22055,,,0.07
01119,Sumter,Alabama,11871,,,0.14
01123,Tallapoosa,Alabama,40340,,,0.08
01129,Washington,Alabama,15128,,,0.07
01131,Wilcox,Alabama,10160,,,0.15
02013,Aleutians East,Alaska,3408,,,0.1
02016,Aleutians West (CA),Alaska,4998,,,0.06
02060,Bristol Bay,Alaska,858,,,0.07
02068,Denali,Alaska,1988,,,0.04
02070,Dillingham (CA),Alaska,4759,,,0.36
02090,Fairbanks North Star,Alaska,86598,,,0.08
02100,Haines,Alaska,2068,,,0.09
02105,Hoonah-Angoon (CA),Alaska,2313,,,0.17
02130,Ketchikan Gateway,Alaska,13553,,,0.13
02150,Kodiak Island,Alaska,11933,,,0.16
02158,Wade Hampton (CA),Alaska,8258,,,0.54
02164,Lake and Peninsula,Alaska,1003,,,0.22
02180,Nome (CA),Alaska,9735,,,0.33
02185,North Slope,Alaska,10843,,,0.08
02188,Northwest Arctic,Alaska,7567,,,0.33
02195,Petersburg (CA),Alaska,3299,,,0.17
02198,Prince of Wales-Hyder (CA),Alaska,5717,,,0.24
02220,Sitka,Alaska,7927,,,0.08
02230,Skagway,Alaska,1308,,,0.11
02240,Southeast Fairbanks (CA),Alaska,6826,,,0.22
02261,Valdez-Cordova (CA),Alaska,,,,
02275,Wrangell,Alaska,2087,,,0.18
02282,Yakutat,Alaska,501,,,0.05
02290,Yukon-Koyukuk (CA),Alaska,5250,,,0.23
04011,Greenlee,Arizona,9419,,,0.07
04023,Santa Cruz,Arizona,48038,,,0.25
05001,Arkansas,Arkansas,16535,,,0.17
05003,Ashley,Arkansas,18538,,,0.22
05005,Baxter,Arkansas,41759,,,0.17
05009,Boone,Arkansas,37529,,,0.14
05011,Bradley,Arkansas,10272,,,0.2
05013,Calhoun,Arkansas,4663,,,0.22
05015,Carroll,Arkansas,28262,,,0.18
05017,Chicot,Arkansas,9286,,,0.23
05019,Clark,Arkansas,21129,,,0.15
05021,Clay,Arkansas,14295,,,0.17
05023,Cleburne,Arkansas,24745,,,0.21
